# Month,Day,Year,AvgTemperature
1,1,2010,5
1,2,2010,2
1,3,2010,3
1,4,2010,2
1,5,2010,3
1,6,2010,3
1,7,2010,3
1,8,2010,2
1,9,2010,2
1,10,2010,2
1,11,2010,3
1,12,2010,3
1,13,2010,2
1,14,2010,3
1,15,2010,6
1,16,2010,6
1,17,2010,5
1,18,2010,5
1,19,2010,6
1,20,2010,5
1,21,2010,3
1,22,2010,3
1,23,2010,3
1,24,2010,4
1,25,2010,7
1,26,2010,6
1,27,2010,5
1,28,2010,4
1,29,2010,2
1,30,2010,2
1,31,2010,2
2,1,2010,2
2,2,2010,2
2,3,2010,2
2,4,2010,2
2,5,2010,3
2,6,2010,2
2,7,2010,2
2,8,2010,3
2,9,2010,3
2,10,2010,4
2,11,2010,3
2,12,2010,2
2,13,2010,3
2,14,2010,4
2,15,2010,4
2,16,2010,4
2,17,2010,5
2,18,2010,5
2,19,2010,5
2,20,2010,5
2,21,2010,5
2,22,2010,4
2,23,2010,6
2,24,2010,6
2,25,2010,6
2,26,2010,7
2,27,2010,7
2,28,2010,6
3,1,2010,7
3,2,2010,6
3,3,2010,6
3,4,2010,6
3,5,2010,6
3,6,2010,6
3,7,2010,7
3,8,2010,8
3,9,2010,7
3,10,2010,6
3,11,2010,7
3,12,2010,7
3,13,2010,8
3,14,2010,7
3,15,2010,8
3,16,2010,8
3,17,2010,9
3,18,2010,9
3,19,2010,9
3,20,2010,8
3,21,2010,6
3,22,2010,7
3,23,2010,7
3,24,2010,7
3,25,2010,8
3,26,2010,4
3,27,2010,4
3,28,2010,6
3,29,2010,7
3,30,2010,7
3,31,2010,9
4,1,2010,9
4,2,2010,11
4,3,2010,13
4,4,2010,12
4,5,2010,10
4,6,2010,10
4,7,2010,10
4,8,2010,8
4,9,2010,8
4,10,2010,8
4,11,2010,8
4,12,2010,8
4,13,2010,9
4,14,2010,10
4,15,2010,9
4,16,2010,8
4,17,2010,8
4,18,2010,8
4,19,2010,10
4,20,2010,11
4,21,2010,11
4,22,2010,8
4,23,2010,8
4,24,2010,10
4,25,2010,10
4,26,2010,10
4,27,2010,8
4,28,2010,8
4,29,2010,9
4,30,2010,10
5,1,2010,11
5,2,2010,12
5,3,2010,13
5,4,2010,12
5,5,2010,11
5,6,2010,11
5,7,2010,9
5,8,2010,8
5,9,2010,7
5,10,2010,8
5,11,2010,9
5,12,2010,10
5,13,2010,10
5,14,2010,10
5,15,2010,11
5,16,2010,11
5,17,2010,12
5,18,2010,13
5,19,2010,12
5,20,2010,13
5,21,2010,12
5,22,2010,12
5,23,2010,13
5,24,2010,14
5,25,2010,14
5,26,2010,15
5,27,2010,14
5,28,2010,13
5,29,2010,13
5,30,2010,12
5,31,2010,12
6,1,2010,13
6,2,2010,13
6,3,2010,12
6,4,2010,12
6,5,2010,13
6,6,2010,10
6,7,2010,11
6,8,2010,11
6,9,2010,11
6,10,2010,11
6,11,2010,12
6,12,2010,12
6,13,2010,13
6,14,2010,12
6,15,2010,12
6,16,2010,11
6,17,2010,12
6,18,2010,14
6,19,2010,14
6,20,2010,14
6,21,2010,13
6,22,2010,13
6,23,2010,13
6,24,2010,13
6,25,2010,12
6,26,2010,12
6,27,2010,11
6,28,2010,14
6,29,2010,12
6,30,2010,11
7,1,2010,11
7,2,2010,12
7,3,2010,14
7,4,2010,15
7,5,2010,15
7,6,2010,15
7,7,2010,15
7,8,2010,15
7,9,2010,15
7,10,2010,14
7,11,2010,15
7,12,2010,14
7,13,2010,13
7,14,2010,14
7,15,2010,15
7,16,2010,15
7,17,2010,15
7,18,2010,14
7,19,2010,13
7,20,2010,14
7,21,2010,13
7,22,2010,14
7,23,2010,13
7,24,2010,13
7,25,2010,14
7,26,2010,14
7,27,2010,14
7,28,2010,14
7,29,2010,13
7,30,2010,12
7,31,2010,12
8,1,2010,13
8,2,2010,14
8,3,2010,14
8,4,2010,14
8,5,2010,15
8,6,2010,13
8,7,2010,12
8,8,2010,13
8,9,2010,13
8,10,2010,12
8,11,2010,13
8,12,2010,13
8,13,2010,13
8,14,2010,14
8,15,2010,13
8,16,2010,14
8,17,2010,13
8,18,2010,13
8,19,2010,13
8,20,2010,12
8,21,2010,12
8,22,2010,12
8,23,2010,13
8,24,2010,13
8,25,2010,13
8,26,2010,12
8,27,2010,12
8,28,2010,13
8,29,2010,14
8,30,2010,14
8,31,2010,15
9,1,2010,15
9,2,2010,15
9,3,2010,15
9,4,2010,12
9,5,2010,11
9,6,2010,11
9,7,2010,13
